[ .... ] series.conf file visible. Apply
[ .... ] apply a series of  [ [593] patches ]
[ .... ] skip [4] patches
[ done ]    patches.megous/clk-sunxi-ng-Set-maximum-P-and-M-factors-to-1-for-H3-pll-cpux-c.patch
[ done ]    patches.megous/clk-sunxi-ng-Don-t-use-CPU-PLL-gating-and-CPUX-reparenting-to-H.patch
[ done ]    patches.megous/ARM-dts-sun8i-h3-Use-my-own-more-aggressive-OPPs-on-H3.patch
[ done ]    patches.megous/arm64-dts-sun50i-h5-Use-my-own-more-aggressive-OPPs-on-H5.patch
[ done ]    patches.megous/ARM-dts-sun8i-h3-orange-pi-pc-Increase-max-CPUX-voltage-to-1.4V.patch
[ done ]    patches.megous/arm64-dts-sun50i-h5-orangepi-pc2-Add-CPUX-regulator-enable-cpuf.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-Improve-CPU-OPP-tables-go-up-to-1.8GHz.patch
[ done ]    patches.megous/cpufreq-sun50i-Show-detected-CPU-bin-for-easier-debugging.patch
[ done ]    patches.megous/dt-bindings-leds-Add-a-binding-for-AXP813-charger-led.patch
[ done ]    patches.megous/leds-axp20x-Support-charger-LED-on-AXP20x-like-PMICs.patch
[ done ]    patches.megous/ARM-dts-axp813-Add-charger-LED.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Enable-charging-LED.patch
[ done ]    patches.megous/nfc-pn544-Add-support-for-VBAT-PVDD-regulators.patch
[ done ]    patches.megous/bluetooth-bcm-Restore-drive_rts_on_open-true-behavior-on-bcm207.patch
[ done ]    patches.megous/mmc-add-delay-after-power-class-selection.patch
[ done ]    patches.megous/dt-bindings-input-gpio-vibrator-Don-t-require-enable-gpios.patch
[ done ]    patches.megous/input-gpio-vibra-Allow-to-use-vcc-supply-alone-to-control-the-v.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Add-support-for-the-vibrator-motor.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Increase-voltage-on-the-vibrator.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Add-PN544-NFC-support.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Add-powerup-down-support-for-the-3G.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-Add-cedrus-video-codec-support-to-A83T-untes.patch
[ done ]    patches.megous/mailbox-Allow-to-run-mailbox-while-timekeeping-is-suspended.patch
[ done ]    patches.megous/ARM-dts-suni-a83t-Add-i2s0-pins.patch
[ done ]    patches.megous/ARM-sunxi-Add-experimental-suspend-to-memory-implementation-for.patch
[ done ]    patches.megous/ARM-dts-sun8i-a83t-tbs-a711-Add-sound-support-via-AC100-codec.patch
